"Department","Date","StaffedHours","AvailableHours","AUXHours","OtherHours","TargetSL","WithinServiceLevel","SLGoal","SL","TotalCalls","ASA","AvgACDTime"
"3G Projects",2021-05-01,0,0,0,0,65,0,0.65,0,0,0,0
"3G Projects",2021-05-02,0,0,0,0,65,75,0.65,0.75,152,90.0510177612,0
"3G Projects",2021-05-03,22.3980555555556,11.1844444444444,5.82555555555556,0.3875,65,91,0.65,0.91,130,14.1609191895,2.27261912028333
"3G Projects",2021-05-04,22.3369444444444,13.8355555555556,4.78916666666667,0.211111111111111,65,83,0.65,0.83,182,45.4369735718,2.1940612793
"3G Projects",2021-05-05,22.4952777777778,11.1077777777778,6.30972222222222,0.0661111111111111,65,69,0.65,0.69,149,64.1623916626,2.11736691793333
"3G Projects",2021-05-06,15.3969444444444,8.42972222222222,1.13055555555556,0.102777777777778,65,92,0.65,0.92,126,21.7727279663,2.65227915446667
"3G Projects",2021-05-07,29.7786111111111,18.3475,6.96722222222222,0.124166666666667,65,0,0.65,0,0,0,2.64734853108333
"3G Projects",2021-05-08,0,0,0,0,65,0,0.65,0,0,0,0
"3G Projects",2021-05-09,0,0,0,0,65,89,0.65,0.89,133,17.3854160309,0
"3G Projects",2021-05-10,29.5955555555556,19.055,6.13527777777778,0.165555555555556,65,92,0.65,0.92,102,26.7654323578,2.446875
"3G Projects",2021-05-11,22.2491666666667,13.6594444444444,4.42972222222222,0.153055555555556,65,96,0.65,0.96,118,9.12658214569,2.41008224486667
"3G Projects",2021-05-12,29.8313888888889,19.0702777777778,6.64916666666667,0.143333333333333,65,94,0.65,0.94,97,11.3000001907,2.66371307373333
"3G Projects",2021-05-13,29.6341666666667,20.5958333333333,6.0725,0.214722222222222,65,91,0.65,0.91,114,13.8571424484,2.54722213745
"3G Projects",2021-05-14,29.7311111111111,17.0236111111111,6.75444444444444,1.85305555555556,65,0,0.65,0,0,0,2.80454533895
"3G Projects",2021-05-15,0,0,0,0,65,0,0.65,0,0,0,0
"3G Projects",2021-05-16,0,0,0,0,65,86,0.65,0.86,124,16.1379318237,0
"3G Projects",2021-05-17,29.6911111111111,16.4558333333333,6.84,2.89111111111111,65,82,0.65,0.82,121,35.6428565979,2.04272028605
"3G Projects",2021-05-18,21.8358333333333,11.5791666666667,5.23027777777778,0.397777777777778,65,91,0.65,0.91,102,16.5303039551,3.05376993815
"3G Projects",2021-05-19,29.7183333333333,18.6652777777778,6.6975,0.0897222222222222,65,92,0.65,0.92,109,16.74193573,2.98813120523333
"3G Projects",2021-05-20,28.5116666666667,19.1880555555556,6.19,0.128611111111111,65,95,0.65,0.95,107,16.0892848969,2.56290334065
"3G Projects",2021-05-21,29.3661111111111,19.9133333333333,6.52,0.135555555555556,65,0,0.65,0,0,0,2.6342262268
"3G Projects",2021-05-22,0,0,0,0,65,0,0.65,0,0,0,0
"3G Projects",2021-05-23,0,0,0,0,65,83,0.65,0.83,117,24.8989906311,0
"3G Projects",2021-05-24,22.035,12.4116666666667,3.03833333333333,2.1475,65,94,0.65,0.94,98,11.2121210098,2.38299662271667
"3G Projects",2021-05-25,21.4480555555556,14.8319444444444,3.39527777777778,0.18,65,95,0.65,0.95,116,13.4814815521,2.29646453856667
"3G Projects",2021-05-26,29.6394444444444,19.7491666666667,5.87194444444444,0.236944444444444,65,91,0.65,0.91,93,16.6825389862,2.61934153238333
"3G Projects",2021-05-27,29.4255555555556,16.9047222222222,7.71333333333333,1.54833333333333,65,89,0.65,0.89,113,30.5272731781,2.91031748453333
"3G Projects",2021-05-28,29.4138888888889,19.7313888888889,6.4625,0.575833333333333,65,0,0.65,0,0,0,2.59969685871667
"3G Projects",2021-05-29,0,0,0,0,65,0,0.65,0,0,0,0
"3G Projects",2021-05-30,0,0,0,0,65,0,0.65,0,0,0,0
"3G Projects",2021-05-31,0,0,0,0,65,82,0.65,0.82,118,28.7469882965,0
"Billing",2021-05-01,11.6791666666667,8.97583333333333,0.331944444444444,0.183888888888889,65,0,0.65,0,0,0,3.06504058838333
"Billing",2021-05-02,0,0,0,0,65,50,0.65,0.5,491,118.278770447,0
"Billing",2021-05-03,37.2408333333333,4.92527777777778,9.43583333333333,2.31111111111111,65,36,0.65,0.36,354,167.290786743,3.0339726766
"Billing",2021-05-04,31.0472222222222,4.82805555555556,6.78055555555556,2.98805555555556,65,31,0.65,0.31,386,193.713821411,3.35360514323333
"Billing",2021-05-05,32.3802777777778,5.98111111111111,5.72416666666667,3.12583333333333,65,33,0.65,0.33,352,243.491577148,3.25380503336667
"Billing",2021-05-06,31.495,3.97694444444444,4.80472222222222,2.445,65,38,0.65,0.38,329,145.445251465,3.93647588093333
"Billing",2021-05-07,24.9886111111111,4.14666666666667,3.34722222222222,1.48861111111111,65,78,0.65,0.78,58,27.7441864014,3.37749379476667
"Billing",2021-05-08,15.0469444444444,12.2583333333333,0.360555555555556,0.268611111111111,65,0,0.65,0,0,0,2.8678293864
"Billing",2021-05-09,0,0,0,0,65,31,0.65,0.31,402,223.760375977,0
"Billing",2021-05-10,31.6105555555556,4.39194444444444,5.17333333333333,2.43138888888889,65,27,0.65,0.27,311,282.19317627,3.633493042
"Billing",2021-05-11,24.52,2.56416666666667,1.71833333333333,1.53333333333333,65,37,0.65,0.37,356,227.167251587,4.11515146891667
"Billing",2021-05-12,32.4169444444444,5.73361111111111,3.17055555555556,2.63583333333333,65,71,0.65,0.71,298,46.9102058411,4.17804870605
"Billing",2021-05-13,30.2183333333333,10.375,4.17472222222222,1.50083333333333,65,77,0.65,0.77,324,48.3531608582,3.33408152261667
"Billing",2021-05-14,30.1452777777778,11.7866666666667,2.395,1.4625,65,86,0.65,0.86,60,30.7399997711,3.10297393798333
"Billing",2021-05-15,14.8780555555556,10.8280555555556,0.693055555555556,0.195555555555556,65,0,0.65,0,0,0,3.63233337401667
"Billing",2021-05-16,0,0,0,0,65,16,0.65,0.16,312,427.126922607,0
"Billing",2021-05-17,26.2244444444444,1.34444444444444,4.375,2.18333333333333,65,65,0.65,0.65,378,69.1452713013,4.10230763753333
"Billing",2021-05-18,37.0505555555556,12.4186111111111,4.25444444444444,2.00916666666667,65,58,0.65,0.58,369,65.9475631714,3.58271408081667
"Billing",2021-05-19,36.9275,8.79583333333333,7.93777777777778,3.02888888888889,65,35,0.65,0.35,438,153.424087524,3.71729100545
"Billing",2021-05-20,37.5897222222222,5.74888888888889,5.605,2.49666666666667,65,4,0.65,0.04,451,562.538085938,3.58512217203333
"Billing",2021-05-21,33.5186111111111,0.544722222222222,2.79166666666667,3.03888888888889,65,84,0.65,0.84,93,34.1168823242,3.98955154418333
"Billing",2021-05-22,16.2380555555556,9.25,1.5775,0.0166666666666667,65,0,0.65,0,0,0,4.05411249796667
"Billing",2021-05-23,0,0,0,0,65,3,0.65,0.03,363,976.987792969,0
"Billing",2021-05-24,27.4272222222222,0.230277777777778,3.78333333333333,2.19777777777778,65,3,0.65,0.03,422,658.489501953,3.76890920003333
"Billing",2021-05-25,31.6986111111111,0.612222222222222,4.45861111111111,1.765,65,21,0.65,0.21,460,210.419021606,3.7947207133
"Billing",2021-05-26,32.8336111111111,2.24333333333333,3.58388888888889,2.24944444444444,65,31,0.65,0.31,367,173.223968506,3.69438730875
"Billing",2021-05-27,34.7627777777778,5.82111111111111,7.16527777777778,1.78583333333333,65,40,0.65,0.4,298,166.387832642,3.66466878255
"Billing",2021-05-28,28.5363888888889,5.39361111111111,3.43722222222222,2.54416666666667,65,80,0.65,0.8,51,49.2926826477,3.77642593383333
"Billing",2021-05-29,14.7819444444444,11.3577777777778,0.513333333333333,0.369722222222222,65,0,0.65,0,0,0,3.56788609823333
"Billing",2021-05-30,0,0,0,0,65,0,0.65,0,0,0,0
"Billing",2021-05-31,0,0,0,0,65,23,0.65,0.23,395,292.91394043,0
"Field Support Customer",2021-05-01,19.0336111111111,10.5525,4.28555555555556,4.13333333333333,65,0,0.65,0,0,0,1.07777773539167
"Field Support Customer",2021-05-02,0,0,0,0,65,53,0.65,0.53,21,50.4615402222,0
"Field Support Customer",2021-05-03,54.4688888888889,8.05972222222222,15.3566666666667,30.8786111111111,65,36,0.65,0.36,19,142.454544067,0.63205127716
"Field Support Customer",2021-05-04,40.0383333333333,6.13944444444444,10.2969444444444,23.4047222222222,65,38,0.65,0.38,16,80.1999969482,0.980303001403333
"Field Support Customer",2021-05-05,39.6875,7.07805555555556,8.32583333333333,24.0438888888889,65,33,0.65,0.33,22,194.166671753,1.34666671753
"Field Support Customer",2021-05-06,57.0602777777778,8.81361111111111,15.4033333333333,32.5486111111111,65,20,0.65,0.2,23,221.357147217,1.39444440205833
"Field Support Customer",2021-05-07,44.8463888888889,7.45583333333333,12.0986111111111,24.9363888888889,65,0,0.65,0,0,0,1.40952377319333
"Field Support Customer",2021-05-08,33.4336111111111,15.3022222222222,13.1944444444444,4.93694444444444,65,0,0.65,0,0,0,0
"Field Support Customer",2021-05-09,0,0,0,0,65,26,0.65,0.26,34,153,0
"Field Support Customer",2021-05-10,42.4333333333333,4.86111111111111,16.5997222222222,20.7025,65,16,0.65,0.16,15,180.875,0.769298235575
"Field Support Customer",2021-05-11,26.3566666666667,2.94805555555556,8.13611111111111,15.0925,65,24,0.65,0.24,14,225,1.27083333333333
"Field Support Customer",2021-05-12,32.7905555555556,6.55444444444444,5.5025,20.4108333333333,65,75,0.65,0.75,15,11.1999998093,1.78333333333333
"Field Support Customer",2021-05-13,116.884722222222,31.8541666666667,38.4169444444444,46.405,65,71,0.65,0.71,16,61.2727279663,1.08833338419667
"Field Support Customer",2021-05-14,134.783888888889,25.985,50.1983333333333,58.2916666666667,65,0,0.65,0,0,0,1.51060600280833
"Field Support Customer",2021-05-15,33.7925,23.1588888888889,4.91055555555556,5.72305555555556,65,100,0.65,1,1,21,0
"Field Support Customer",2021-05-16,9.00583333333333,3.05861111111111,4.81472222222222,1.12666666666667,65,54,0.65,0.54,15,36.1818199158,0.166666666666667
"Field Support Customer",2021-05-17,114.079722222222,17.2325,49.0963888888889,47.2972222222222,65,83,0.65,0.83,19,64.5833358765,2.28636372883333
"Field Support Customer",2021-05-18,134.825555555556,29.0747222222222,47.0427777777778,58.3277777777778,65,90,0.65,0.9,27,11.6842107773,1.77361106873333
"Field Support Customer",2021-05-19,130.2875,23.0744444444444,54.8997222222222,51.3958333333333,65,55,0.65,0.55,25,65.5789489746,2.71929829915
"Field Support Customer",2021-05-20,142.776111111111,19.9383333333333,57.6863888888889,64.5075,65,77,0.65,0.77,18,29,1.85350875855
"Field Support Customer",2021-05-21,132.79,14.6833333333333,54.5819444444444,63.1227777777778,65,50,0.65,0.5,1,8,2.02575759888333
"Field Support Customer",2021-05-22,42.2227777777778,23.9777777777778,7.57638888888889,10.6108333333333,65,0,0.65,0,0,0,3.16666666666667
"Field Support Customer",2021-05-23,9.19444444444444,1.47277777777778,7.23666666666667,0.485,65,47,0.65,0.47,22,120.384613037,0
"Field Support Customer",2021-05-24,119.5025,14.8919444444444,49.3075,54.3063888888889,65,71,0.65,0.71,19,35.9285697937,3.99487177531667
"Field Support Customer",2021-05-25,137.176666666667,18.1966666666667,56.4333333333333,61.555,65,79,0.65,0.79,19,27.428571701,4.06666666666667
"Field Support Customer",2021-05-26,145.713888888889,19.9297222222222,55.8313888888889,69.3958333333333,65,76,0.65,0.76,21,8.5,2.17738087971667
"Field Support Customer",2021-05-27,141.497222222222,25.1555555555556,50.5705555555556,65.2027777777778,65,80,0.65,0.8,23,33.7142868042,2.25
"Field Support Customer",2021-05-28,119.615,17.9883333333333,42.2669444444444,58.5855555555556,65,100,0.65,1,3,3,3.20357131958333
"Field Support Customer",2021-05-29,29.6283333333333,19.4591666666667,4.13138888888889,6.00972222222222,65,33,0.65,0.33,4,508,0.344444433848333
"Field Support Customer",2021-05-30,9.21805555555556,2.93444444444444,4.70944444444444,1.55138888888889,65,0,0.65,0,0,0,0.383333333333333
"Field Support Customer",2021-05-31,5.44222222222222,1.68388888888889,3.39638888888889,0.361944444444444,65,83,0.65,0.83,8,23.8333339691,0
"Field Support Tech",2021-05-01,15.0002777777778,10.9725,0.234722222222222,0.0286111111111111,65,0,0.65,0,0,0,4.48263905843333
"Field Support Tech",2021-05-02,0,0,0,0,65,59,0.65,0.59,587,51.2611236572,0
"Field Support Tech",2021-05-03,94.9825,12.445,48.6266666666667,1.04666666666667,65,76,0.65,0.76,664,34.2682914734,3.614087677
"Field Support Tech",2021-05-04,101.011111111111,17.41,46.5522222222222,1.09361111111111,65,76,0.65,0.76,672,27.4207839966,3.53693389893333
"Field Support Tech",2021-05-05,96.8569444444445,16.3875,41.81,1.37722222222222,65,75,0.65,0.75,633,31.4444446564,3.5994606018
